,ligand,sz,mcc,rmsd
0,1a07C1,34,0.80128961801528931,1.0780332088470459
1,1a0qB1,23,0.82810258865356445,1.0149946212768555
2,1a28B1,23,0.72314518690109253,0.95679008960723877
3,1a42A1,23,0.81197398900985718,0.83468365669250488
4,1a4gA1,23,0.83489948511123657,0.74873781204223633
5,1a4kB1,31,0.8308943510055542,0.81713205575942993
6,1aaqB1,41,0.58488792181015015,1.5798007249832153
7,1abeA1,10,0.94982844591140747,0.42766273021697998
8,1abeA2,10,0.94982844591140747,0.42766273021697998
9,1abfA1,11,0.88281053304672241,0.49285006523132324
10,1abfA2,11,0.88281053304672241,0.49285006523132324
11,1acjA1,15,0.8960079550743103,0.48319551348686218
12,1aclA1,18,0.75646454095840454,1.2507965564727783
13,1acmA1,16,0.86402755975723267,0.74642163515090942
14,1aecA1,25,0.73641902208328247,1.0019446611404419
15,1ahaA1,10,0.86634337902069092,0.48666387796401978
16,1aoeB1,20,0.885414719581604,0.57473629713058472
17,1aptA1,35,0.84221553802490234,0.66784507036209106
18,1apuA1,31,0.82703053951263428,0.63361912965774536
19,1aqwC1,20,0.89612096548080444,0.64391452074050903
20,1aseA1,16,0.89493846893310547,0.80776119232177734
21,1atlB1,23,0.78324431180953979,0.91560232639312744
22,1azmA1,13,0.91877299547195435,0.39776113629341125
23,1b59A1,21,0.84685122966766357,0.78574705123901367
24,1b9vA1,25,0.82055187225341797,0.77097910642623901
25,1bbpA1,43,0.72792965173721313,1.3195294141769409
26,1bgoA1,34,0.74202483892440796,1.2155464887619019
27,1bl7A1,25,0.75002121925354004,0.88280397653579712
28,1bmaA1,37,0.72575092315673828,1.0755702257156372
29,1bmqB1,38,0.76269626617431641,0.77110248804092407
30,1bybA1,45,0.69391769170761108,1.3490475416183472
31,1c12B1,23,0.71583098173141479,0.8229292631149292
32,1c1eB1,19,0.8839380145072937,0.58013653755187988
33,1c5cB1,22,0.81764227151870728,0.78910732269287109
34,1c5xB1,13,0.85067754983901978,0.57752245664596558
35,1c83A1,18,0.84304624795913696,0.55794388055801392
36,1cbsA1,22,0.61727631092071533,1.305773138999939
37,1cf8B1,33,0.60834890604019165,1.5088863372802734
38,1cilA1,19,0.79306405782699585,0.82318800687789917
39,1cinA1,18,0.82096374034881592,0.79100942611694336
40,1ckpA1,18,0.88072162866592407,0.62740272283554077
41,1coyA1,21,0.81668680906295776,0.83417993783950806
42,1cttA1,16,0.92199736833572388,0.49897727370262146
43,1d4pB1,27,0.75649350881576538,1.1083700656890869
44,1dbbB1,23,0.81701821088790894,0.90604972839355469
45,1dbmB1,31,0.82432162761688232,0.80657714605331421
46,1dg5A1,21,0.81144267320632935,0.77637720108032227
47,1dhfA1,32,0.752982497215271,1.0169168710708618
48,1didB1,11,0.89665329456329346,0.5155523419380188
49,1dmpB1,40,0.6272156834602356,1.0428614616394043
50,1dr1A1,17,0.91887766122817993,0.44904378056526184
51,1dwbB1,9,0.85760074853897095,0.35816687345504761
52,1dwcB1,35,0.80419141054153442,0.88540512323379517
53,1dwdB1,37,0.75659841299057007,1.045110821723938
54,1dy9A1,35,0.70475977659225464,0.93246805667877197
55,1eapB1,23,0.773418128490448,0.99350684881210327
56,1ebgB1,9,0.91678273677825928,0.38253319263458252
57,1eedA1,45,0.67185819149017334,1.5751632452011108
58,1ei1A1,31,0.76641625165939331,1.0557435750961304
59,1ejnA1,25,0.64422261714935303,1.3231619596481323
60,1elaA1,32,0.76796120405197144,0.96339952945709229
61,1elbA1,33,0.78124350309371948,0.85685843229293823
62,1elcA1,36,0.75339305400848389,1.1044368743896484
63,1eldA1,33,0.8087499737739563,0.96865767240524292
64,1eleA1,29,0.77485495805740356,0.94762974977493286
65,1epbA1,22,0.75261735916137695,1.2250577211380005
66,1epoA1,46,0.6992219090461731,1.175324559211731
67,1etrB1,35,0.77765369415283203,0.75861650705337524
68,1etsB1,37,0.79283839464187622,0.77564120292663574
69,1ettB1,30,0.77249771356582642,0.73161202669143677
70,1f0rA1,31,0.78885340690612793,0.6913142204284668
71,1f0sA1,29,0.80882227420806885,0.68601381778717041
72,1f3dB1,15,0.82990950345993042,0.83871215581893921
73,1faxA1,33,0.81620097160339355,0.80870217084884644
74,1fenA1,19,0.71859556436538696,0.9532666802406311
75,1fgiB1,22,0.79903686046600342,0.62973308563232422
76,1fl3B1,23,0.58929580450057983,1.5062575340270996
77,1flrB1,25,0.814980149269104,0.64455592632293701
78,1frpA1,20,0.85060083866119385,0.64126914739608765
79,1ghbC1,18,0.82759362459182739,0.56098330020904541
80,1glpB1,23,0.75017517805099487,0.97714072465896606
81,1hdyB1,6,0.97887611389160156,0.39646011590957642
82,1hefA1,48,0.68639063835144043,1.462922215461731
83,1hfcA1,25,0.82160466909408569,1.0775173902511597
84,1hivB1,59,0.59588426351547241,1.6368145942687988
85,1hslB1,11,0.88454180955886841,0.55949974060058594
86,1htfB1,41,0.7543264627456665,0.9543946385383606
87,1htiB1,9,0.94503253698348999,0.5615343451499939
88,1hvrB1,46,0.57915300130844116,1.216202974319458
89,1hytA1,15,0.86413091421127319,0.56544512510299683
90,1icnA1,14,0.90272349119186401,0.5133097767829895
91,1idaB1,52,0.7112918496131897,1.372063159942627
92,1imbA1,16,0.83993130922317505,0.66804516315460205
93,1ivcA1,15,0.93462103605270386,0.35954052209854126
94,1iveA1,14,0.96295017004013062,0.32804548740386963
95,1ivqB1,44,0.61002433300018311,1.2363071441650391
96,1lahA1,9,0.91261684894561768,0.50469034910202026
97,1lcpA1,10,0.88643127679824829,0.41840848326683044
98,1ldmA1,6,0.96907079219818115,0.30075058341026306
99,1licA1,20,0.65954357385635376,1.0298504829406738
100,1lmoA1,29,0.79976195096969604,0.783477783203125
101,1lnaA1,17,0.83337998390197754,0.72593873739242554
102,1lpmA1,19,0.75088781118392944,1.1207300424575806
103,1lstA1,10,0.84058791399002075,0.57658350467681885
104,1lybB1,48,0.71481972932815552,1.3402190208435059
105,1lylA1,9,0.86523008346557617,0.42212322354316711
106,1mcqB1,21,0.86100286245346069,0.57138693332672119
107,1mdrA1,12,0.86187386512756348,0.56720024347305298
108,1ml1B1,9,0.88405275344848633,0.58696883916854858
109,1mldC1,13,0.88518154621124268,0.60399931669235229
110,1mmbA1,32,0.73627960681915283,0.88149309158325195
111,1mmqA1,33,0.66877692937850952,1.1565985679626465
112,1mncA1,25,0.79423606395721436,0.82360696792602539
113,1mrgA1,11,0.93071556091308594,0.46693161129951477
114,1mrkA1,19,0.86492210626602173,0.62618476152420044
115,1mtsA1,34,0.6567191481590271,1.1211847066879272
116,1mtwA1,33,0.83039522171020508,0.77067446708679199
117,1mupA1,9,0.8951418399810791,0.58586806058883667
118,1nsdA1,20,0.84905838966369629,0.65147072076797485
119,1oklA1,17,0.84397834539413452,0.69023078680038452
120,1okmA1,18,0.76636940240859985,0.81550168991088867
121,1pbdA1,10,0.85530585050582886,0.46337974071502686
122,1pdzA1,9,0.82104283571243286,0.49779343605041504
123,1phaA1,22,0.81977987289428711,0.85614818334579468
124,1phdA1,11,0.81957125663757324,0.58723407983779907
125,1phfA1,11,0.70510518550872803,0.6348724365234375
126,1phgA1,17,0.82476347684860229,0.69361728429794312
127,1ppcA1,37,0.70083528757095337,1.1305760145187378
128,1pphA1,30,0.64326304197311401,0.98640179634094238
129,1ppiA1,55,0.70463407039642334,1.4182925224304199
130,1psoA1,48,0.70254892110824585,1.6114819049835205
131,1ptvA1,17,0.8830263614654541,0.59486538171768188
132,1qbrB1,54,0.53267204761505127,1.5542398691177368
133,1qbtB1,62,0.53370893001556396,1.8757873773574829
134,1qbuB1,43,0.65928292274475098,1.2840609550476074
135,1qcfA1,21,0.80220633745193481,0.79171711206436157
136,1qh7A1,10,0.91938930749893188,0.35502669215202332
137,1ql7A1,34,0.76627629995346069,0.7921597957611084
138,1qpeA1,21,0.78026694059371948,0.74735218286514282
139,1qpqA1,12,0.87760782241821289,0.43074929714202881
140,1rbpA1,21,0.79905271530151367,1.0510696172714233
141,1rdsA1,20,0.86986720561981201,0.6246064305305481
142,1rneA1,51,0.66622769832611084,1.3840823173522949
143,1robA1,21,0.80160260200500488,0.7829664945602417
144,1slnA1,35,0.76911956071853638,1.1512430906295776
145,1sltA1,26,0.84036880731582642,0.71189123392105103
146,1srfA1,22,0.77095860242843628,0.91090357303619385
147,1srgA1,19,0.70877474546432495,0.89803951978683472
148,1srhA1,21,0.75632989406585693,0.90859299898147583
149,1srjB1,22,0.79545974731445312,0.8290894627571106
150,1stpA1,16,0.73815184831619263,0.93917179107666016
151,1tdbA1,21,0.74849206209182739,0.95320051908493042
152,1tmnA1,35,0.83779656887054443,0.99634456634521484
153,1tngA1,8,0.85587084293365479,0.52036714553833008
154,1tnhA1,9,0.84250670671463013,0.54575890302658081
155,1tniA1,11,0.85822004079818726,0.62605148553848267
156,1tnlA1,10,0.84510844945907593,0.57916861772537231
157,1tphB1,10,0.96540725231170654,0.29299509525299072
158,1tppA1,15,0.83300596475601196,0.57905012369155884
159,1ulbA1,11,0.90692389011383057,0.43591880798339844
160,1uvsB1,32,0.7168077826499939,0.94143134355545044
161,1uvtB1,27,0.79523336887359619,0.74510997533798218
162,1xidA1,12,0.86192566156387329,0.55473864078521729
163,1xkbB1,29,0.75255143642425537,0.91705077886581421
164,1ydrA1,20,0.82337135076522827,0.77176451683044434
165,1ydsA1,18,0.84601038694381714,0.74618136882781982
166,1ydtA1,27,0.74795854091644287,1.0506666898727417
167,2ackA1,12,0.85404598712921143,0.51729673147201538
168,2adaA1,19,0.82676023244857788,0.80636304616928101
169,2cgrB1,29,0.73329746723175049,0.97008168697357178
170,2cmdA1,13,0.88810861110687256,0.58639699220657349
171,2cppA1,11,0.9189792275428772,0.45173367857933044
172,2dblB1,30,0.67749696969985962,1.2530343532562256
173,2gbpA1,12,0.90727746486663818,0.54249846935272217
174,2h4nA1,13,0.83882850408554077,0.74152332544326782
175,2ifbA1,18,0.87965840101242065,0.52199196815490723
176,2mcpB1,11,0.92318981885910034,0.32924985885620117
177,2mipC1,54,0.58273816108703613,1.5467215776443481
178,2mipD2,54,0.67387247085571289,1.5374644994735718
179,2pcpB1,18,0.84546351432800293,0.62552171945571899
180,2phhA1,10,0.81696838140487671,0.44401800632476807
181,2qwkA1,20,0.83221513032913208,0.74753695726394653
182,2simA1,20,0.87075352668762207,0.72637397050857544
183,2tmnA1,13,0.87605094909667969,0.58365374803543091
184,2yhxA1,21,0.76481741666793823,0.8849637508392334
185,2ypiA1,9,0.85335129499435425,0.5949939489364624
186,3erdA1,20,0.81379300355911255,0.78341400623321533
187,3ertA1,29,0.80676984786987305,0.95018118619918823
188,3gchC1,12,0.80978071689605713,0.5541955828666687
189,3ptbA1,9,0.92518281936645508,0.33792105317115784
190,4aahC1,24,0.82406055927276611,0.89587587118148804
191,4ctsB1,9,0.8996882438659668,0.46518805623054504
192,4er2A1,48,0.6983000636100769,1.5372188091278076
193,4estA1,36,0.74612796306610107,1.3528202772140503
194,4lbdA1,29,0.69430011510848999,1.2145919799804688
195,4phvB1,46,0.58089196681976318,1.3267320394515991
196,5abpA1,12,0.84540796279907227,0.54913526773452759
197,5abpA2,12,0.84540796279907227,0.54913526773452759
198,5cppA1,11,0.92982244491577148,0.4337424635887146
199,5er1A1,37,0.63243907690048218,1.132299542427063
200,5p2pB1,28,0.69012308120727539,1.2085137367248535
201,6abpA1,11,0.91769492626190186,0.44232261180877686
202,7timA1,10,0.85138893127441406,0.66198009252548218
203,8gchC1,24,0.7585824728012085,0.83259737491607666
